               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070217,            0.025293,            0.034513,             0.27275,             0.46811,             0.28329,            0.090975,            0.039743,            0.010428,             0.02504,           0.0033242,           0.0033242,            0.070082
                   1,             0.04941,            0.016934,            0.026741,              0.4541,             0.59202,             0.52254,             0.20305,            0.033026,           0.0080516,            0.017669,           0.0059984,           0.0059984,            0.039423
                   2,            0.047412,            0.014644,            0.019185,             0.54323,             0.65436,             0.60316,             0.29197,            0.032233,           0.0069852,            0.016112,           0.0080127,           0.0080127,            0.008104
                   3,            0.042203,            0.013599,            0.015321,             0.70397,              0.7591,             0.77923,             0.40583,            0.028483,           0.0063076,           0.0089116,             0.00703,             0.00703,             0.00703
                   4,            0.037901,            0.013515,            0.013756,             0.74484,             0.68909,             0.76805,             0.43754,            0.026268,           0.0066316,            0.013466,             0.00703,             0.00703,             0.00703
                   5,            0.036136,             0.01389,            0.012407,             0.82615,             0.81973,             0.88221,             0.51685,            0.023698,           0.0057801,           0.0073091,             0.00604,             0.00604,             0.00604
                   6,            0.032885,            0.012684,            0.011046,              0.8275,             0.87019,              0.9094,             0.57121,            0.022243,           0.0053767,           0.0062254,             0.00505,             0.00505,             0.00505
                   7,            0.031013,            0.012293,           0.0096815,             0.86483,             0.85712,             0.92494,             0.59138,            0.021201,           0.0053121,           0.0052124,             0.00406,             0.00406,             0.00406
                   8,            0.029504,            0.012211,            0.008755,             0.85272,             0.85539,             0.91331,             0.57816,            0.021725,           0.0052937,           0.0045573,             0.00307,             0.00307,             0.00307
                   9,            0.028133,            0.011725,           0.0084176,             0.84443,              0.9303,             0.93937,             0.62951,            0.019906,           0.0050979,           0.0032622,             0.00208,             0.00208,             0.00208
